Cd_71,uso_BI,Act_71_14,coduso_BI
A  ,ALMACEN,Almacenamiento,A
AAL,ALMACEN,Almacén,A
AAP,ALMACEN_ESTACIONAMIENTO,Almacenamiento Aparcamiento,A
ÀAP,ALMACEN_ESTACIONAMIENTO,Almacenamiento Aparcamiento,A
ACR,INSTALACIONES,Caseta para instalación de riego,A
ACT,INSTALACIONES,Caseta para transformadores,A
AES,ESTACIONAMIENTO,Estación,A
AIG,ALMACEN,Edificaciones e instalaciones ganaderas de carácter extensivo,A
ALL,ALMACEN_ESTACIONAMIENTO,Sin definir. Estacionamiento,A
APP,ALMACEN_ESTACIONAMIENTO,Sin definir. Estacionamiento,A
B  ,ALMACEN,Almacenamiento,B
BAA,ALMACEN,Sin definir,B
BAL,ALMACEN,Almacén,B
BAP,ESTACIONAMIENTO,Almacenamiento Aparcamiento,B
BCR,INSTALACIONES,Caseta para instalación de riego,B
BCT,INSTALACIONES,Caseta para transformadores,B
BES,ALMACEN,Estación,B
BIG,ALMACEN,Edificaciones e instalaciones ganaderas de carácter extensivo,B
C  ,COMERCIAL,Comercio,C
CAT,COMERCIAL,Automóviles,C
CBR,COMERCIAL,Sin definir,C
CBZ,COMERCIAL,Bazar,C
CCA,COMERCIAL,Sin definir,C
CCD,COMERCIAL,Sin definir,C
CCE,COMERCIAL,Menor no Diferencia,C
CCF,COMERCIAL,Sin Definir,C
CCL,COMERCIAL,Calzado,C
CCR,COMERCIAL,Carnicería,C
CDM,COMERCIAL,Personal o doméstico,C
CDN,HOSTELERIA ,Sin Definir,G
CDR,COMERCIAL,Droguería,C
CEE,COMERCIAL,Sin Definir,C
CFN,COMERCIAL,Financieros,C
CFR,COMERCIAL,Farmacia,C
CFT,COMERCIAL,Fontanería,C
CGL,COMERCIAL,Galerías,C
CIM,COMERCIAL,Imprenta,C
CJY,COMERCIAL,Joyería,C
CLB,COMERCIAL,Librería,C
CMB,COMERCIAL,Muebles,C
CPA,COMERCIAL,Por mayor,C
CPR,COMERCIAL,Perfumería,C
CRL,COMERCIAL,Relojería,C
CSP,COMERCIAL,Supermercado,C
CTJ,COMERCIAL,Tejidos,C
D  ,COMERCIAL,Comercio,C
DAT,COMERCIAL,Automóviles,C
DBZ,COMERCIAL,Bazar,C
DCE,COMERCIAL,Menor no Diferencia,C
DCL,COMERCIAL,Calzado,C
DCR,COMERCIAL,Carnicería,C
DDC,COMERCIAL,Sin definir,C
DDM,COMERCIAL,Personal o doméstico,C
DDR,COMERCIAL,Droguería,C
DFN,COMERCIAL,Financieros,C
DFR,COMERCIAL,Farmacia,C
DFT,COMERCIAL,Fontanería,C
DGL,COMERCIAL,Galerías,C
DIM,COMERCIAL,Imprenta,C
DJY,COMERCIAL,Joyería,C
DLB,COMERCIAL,Librería,C
DMB,COMERCIAL,Muebles,C
DPA,COMERCIAL,Por mayor,C
DPR,COMERCIAL,Perfumería,C
DRL,COMERCIAL,Relojería,C
DSP,COMERCIAL,Supermercado,C
DTJ,COMERCIAL,Tejidos,C
E  ,EDUCATIVO,Enseñanza,E
EBL,CULTURAL,Biblioteca,E
EBS,EDUCATIVO,Básica,E
ECL,CULTURAL,Casa Cultura,E
EIN,EDUCATIVO,Instituto,E
EMS,CULTURAL,Museo,E
EPR,EDUCATIVO,Profesional,E
EUN,CULTURAL,Universidad,E
F  ,EDUCATIVO,Enseñanza,F
FBL,CULTURAL,Biblioteca,F
FBS,EDUCATIVO,Básica,F
FCL,CULTURAL,Casa Cultura,F
FIN,EDUCATIVO,Instituto,F
FMS,CULTURAL,Museo,F
FPR,EDUCATIVO,Profesional,F
FUN,EDUCATIVO,Universidad,F
G  ,TURISMO,Hotel,G
GB1,HOSTELERIA,Sin definir. Bares y Hostelería,G
GC,HOSTELERIA,Bares y Cafeterías,G
GC1,HOSTELERIA,Café 1T,G
GC2,HOSTELERIA,Café 2T,G
GC3,HOSTELERIA,Café 3T,G
GC4,HOSTELERIA,Café 4T,G
GC5,HOSTELERIA,Café 5T,G
GH1,TURISMO,Hotel 1E,G
GH2,TURISMO,Hotel 2E,G
GH3,TURISMO,Hotel 3E,G
GH4,TURISMO,Hotel 4E,G
GH5,TURISMO,Hotel 5E,G
GP1,TURISMO,Apt. Bloq. Lujo 1C,G
GP2,TURISMO,Apt. Bloq. Lujo 2C,G
GP3,TURISMO,Apt. Bloq. Lujo 3C,G
GPL,TURISMO,Apt. Bloq. Lujo,G
GR1,HOSTELERIA,Restaurante 1T,G
GR2,HOSTELERIA,Restaurante 2T,G
GR3,HOSTELERIA,Restaurante 3T,G
GR4,HOSTELERIA,Restaurante 4T,G
GR5,HOSTELERIA,Restaurante 5T,G
GS1,TURISMO,Hostal p 1E,G
GS2,TURISMO,Hostal p 2E,G
GS3,TURISMO,Hostal p 3E,G
GT1,TURISMO,Colonias Lujo 1C,G
GT2,TURISMO,Colonias Lujo 2C,G
GT3,TURISMO,Colonias Lujo 3C,G
GTL,TURISMO,Colonias Lujo,G
H  ,TURISMO,Hotel,G
HB1,HOSTELERIA,Sin definir. Bares y Hostelería,G
HC1,HOSTELERIA,Café 1T,G
HC2,HOSTELERIA,Café 2T,G
HC3,HOSTELERIA,Café 3T,G
HC4,HOSTELERIA,Café 4T,G
HC5,HOSTELERIA,Café 5T,G
HH1,TURISMO,Hotel 1E,G
HH2,TURISMO,Hotel 2E,G
HH3,TURISMO,Hotel 3E,G
HH4,TURISMO,Hotel 4E,G
HH5,TURISMO,Hotel 5E,G
HP1,TURISMO,Apt. Bloq. Lujo 1C,G
HP2,TURISMO,Apt. Bloq. Lujo 2C,G
HP3,TURISMO,Apt. Bloq. Lujo 3C,G
HPL,TURISMO,Apt. Bloq. Lujo,G
HR1,HOSTELERIA,Restaurante 1T,G
HR2,HOSTELERIA,Restaurante 2T,G
HR3,HOSTELERIA,Restaurante 3T,G
HR4,HOSTELERIA,Restaurante 4T,G
HR5,HOSTELERIA,Restaurante 5T,G
HS1,TURISMO,Hostal p 1E,G
HS2,TURISMO,Hostal p 2E,G
HS3,TURISMO,Hostal p 3E,G
HT1,TURISMO,Colonias Lujo 1C,G
HT2,TURISMO,Colonias Lujo 2C,G
HT3,TURISMO,Colonias Lujo 3C,G
HTL,TURISMO,Colonias Lujo,G
I  ,INDUSTRIAL,Industria,I
IAG,INDUSTRIAL,Agropecuaria,I
IAL,INDUSTRIAL,Alimentación,I
IAM,INDUSTRIAL,Almazaras que incluyan balsa de depuración de alpechines,I
