CODUSO_428;USO15428
A;Almacén -Estacionamiento
B;Almacén agrario
C;Comercial
E;Cultural
G;Turismo, Ocio y Hostelería
I;Industrial
J;Industrial agrario
K;Deportivo
M;Obras de urbanización y jardinería, suelos sin edificar
O;Oficinas
P;Edificio singular
R;Religioso
T;Espectáculos
V;Residencial
Y;Sanidad y Beneficencia
Z;Agrario
0;Sin dato
1;a- Producc. de energ. Eléctrica-gas-refino de petróleo-C. Nucleares
2;b- Presas, saltos de agua y embalses
3;c- Autopistas, carreteras y túneles de peaje
4;d- Aeropuertos y puertos comerciales
;Sin dato
