year_alta,a_almacén_estacionamiento,c_comercial,e_cultural,g_turismo_ocio_hostelería,i_industrial,k_deportivo,m_urb_jardin_noedificad,o_oficinas,p_edifsingular,r_religioso,t_espectaculos,v_residencial,y_sanidad_benefic,z_agrario
,2.0,,,10.0,3.0,3.0,3785.0,2.0,,,1.0,25.0,2.0,4384.0
2023.0,126.0,2.0,,,,,96.0,,,,,250.0,,
2022.0,866.0,10.0,,5.0,2.0,,72.0,,,,,1027.0,,
2021.0,673.0,12.0,1.0,11.0,1.0,,14.0,2.0,,,,809.0,,
2020.0,1064.0,3.0,1.0,4.0,2.0,,,,,1.0,,1165.0,,
2019.0,359.0,6.0,,4.0,8.0,,1.0,1.0,,,,606.0,1.0,
2018.0,852.0,6.0,1.0,3.0,9.0,1.0,2.0,,,,,661.0,2.0,
2017.0,329.0,11.0,,3.0,8.0,1.0,,2.0,1.0,,,513.0,,
2016.0,185.0,2.0,,7.0,9.0,2.0,2.0,5.0,,,,269.0,,
2015.0,422.0,11.0,3.0,4.0,11.0,3.0,3.0,34.0,,,,346.0,1.0,1.0
2014.0,27.0,4.0,2.0,3.0,17.0,3.0,,4.0,,1.0,,222.0,3.0,1.0
2013.0,392.0,18.0,4.0,2.0,18.0,2.0,4.0,5.0,1.0,2.0,,567.0,3.0,1.0
2012.0,848.0,64.0,8.0,2.0,11.0,3.0,8.0,28.0,1.0,,,1191.0,4.0,1.0
2011.0,961.0,25.0,5.0,7.0,20.0,3.0,59.0,20.0,1.0,3.0,,599.0,3.0,1.0
2010.0,1580.0,38.0,5.0,9.0,20.0,7.0,8.0,16.0,1.0,,,844.0,4.0,5.0
2009.0,1817.0,104.0,7.0,2.0,37.0,10.0,4.0,221.0,,2.0,,1780.0,8.0,3.0
2008.0,1663.0,59.0,2.0,5.0,60.0,3.0,29.0,94.0,1.0,,,2002.0,9.0,4.0
2007.0,1952.0,117.0,10.0,2.0,93.0,7.0,36.0,90.0,3.0,,1.0,2746.0,5.0,4.0
2006.0,1508.0,65.0,5.0,28.0,142.0,5.0,57.0,187.0,1.0,,,2800.0,5.0,4.0
2005.0,1617.0,278.0,8.0,3.0,273.0,15.0,24.0,246.0,1.0,,1.0,2832.0,3.0,2.0
2004.0,1119.0,87.0,3.0,10.0,164.0,7.0,71.0,86.0,1.0,1.0,,1893.0,8.0,1.0
2003.0,1349.0,173.0,3.0,7.0,114.0,5.0,30.0,114.0,,1.0,,2550.0,13.0,4.0
2002.0,2260.0,203.0,7.0,14.0,64.0,6.0,40.0,76.0,,1.0,,2444.0,9.0,2.0
2001.0,1623.0,181.0,6.0,17.0,145.0,6.0,23.0,63.0,,1.0,,1901.0,15.0,3.0
2000.0,1362.0,129.0,7.0,22.0,152.0,24.0,27.0,157.0,5.0,1.0,,2590.0,13.0,19.0
1999.0,2296.0,193.0,4.0,32.0,95.0,3.0,8.0,103.0,,1.0,,2030.0,14.0,2.0
1998.0,1669.0,314.0,11.0,15.0,97.0,10.0,10.0,65.0,,,,2721.0,11.0,4.0
1997.0,2125.0,266.0,3.0,9.0,75.0,4.0,15.0,24.0,,2.0,,2515.0,9.0,3.0
1996.0,1485.0,387.0,4.0,61.0,92.0,3.0,5.0,18.0,,,,2350.0,9.0,3.0
1995.0,1948.0,265.0,5.0,3.0,90.0,12.0,8.0,41.0,1.0,1.0,,2620.0,7.0,8.0
1994.0,3371.0,479.0,8.0,8.0,69.0,6.0,6.0,41.0,,1.0,,3160.0,16.0,3.0
1993.0,2087.0,271.0,3.0,5.0,69.0,2.0,,20.0,1.0,,,1814.0,11.0,4.0
1992.0,2071.0,240.0,3.0,2.0,86.0,2.0,6.0,50.0,,,,2370.0,3.0,2.0
1991.0,1222.0,184.0,1.0,4.0,56.0,1.0,2.0,47.0,,,,1741.0,2.0,
1990.0,1113.0,121.0,6.0,5.0,140.0,11.0,21.0,16.0,1.0,1.0,1.0,1652.0,,43.0
1989.0,991.0,156.0,3.0,9.0,124.0,2.0,3.0,4.0,,,,1504.0,4.0,3.0
1988.0,953.0,210.0,3.0,,116.0,4.0,4.0,22.0,1.0,2.0,,1569.0,5.0,3.0
1987.0,516.0,179.0,4.0,5.0,76.0,2.0,2.0,10.0,,2.0,,1087.0,1.0,6.0
1986.0,476.0,161.0,1.0,4.0,81.0,1.0,3.0,8.0,,2.0,,1051.0,4.0,3.0
1985.0,1381.0,196.0,6.0,4.0,98.0,5.0,5.0,15.0,2.0,1.0,,1603.0,3.0,14.0
1984.0,562.0,174.0,,1.0,25.0,1.0,1.0,10.0,,,,1594.0,3.0,4.0
1983.0,1554.0,345.0,3.0,3.0,93.0,1.0,2.0,6.0,1.0,2.0,,2262.0,3.0,2.0
1982.0,1709.0,291.0,8.0,6.0,102.0,4.0,3.0,30.0,,,,3410.0,1.0,2.0
1981.0,2183.0,349.0,3.0,2.0,79.0,3.0,,22.0,,,,3557.0,1.0,2.0
1980.0,3021.0,510.0,30.0,6.0,151.0,9.0,9.0,32.0,5.0,14.0,,5470.0,7.0,38.0
1979.0,2262.0,405.0,10.0,11.0,142.0,3.0,1.0,41.0,,4.0,,3809.0,3.0,1.0
