refcat,antig_bi,sin_reforma,e_ref_media,i_ref_minima,o_ref_total,r_ref_integral
0009801UG3900N,1998.0,0.0,,,,
0009802UG3900N,1997.0,0.0,,,,
0009804UG3900N,1996.0,0.0,,,,
0009805UG3900N,1995.0,0.0,,,,
001000800UG39B,1983.0,0.0,,,,
001000900UG39B,1981.0,0.0,,,,
001001000UG39B,1991.0,0.0,,,,
001001100UG39B,2000.0,0.0,,,,
0010801UH4001S,1979.0,0.0,,,,
0010802UH4001S,2007.0,0.0,,,,
0010803UH4001S,1965.0,0.0,,,,
0011701UG3901S,2002.0,0.0,,,,
0011702UG3901S,1998.0,0.0,,,,
0011703UG3901S,2011.0,0.0,,,,
0011704UG3901S,1998.0,0.0,,,,
0011705UG3901S,2000.0,0.0,,,,
0011706UG3901S,2004.0,0.0,,,,
0011707UG3901S,1999.0,0.0,,,,
0011708UG3901S,1996.0,0.0,,,,
0020851000009S,2003.5,0.0,,,,
0020874000009S,1963.0,0.0,1980.0,,,
0021076000009S,1996.0,0.0,,,,
0021077000009S,1956.0,,1997.0,,,
0021079000009S,1994.0,0.0,,,,
0021082000009S,1985.0,0.0,,,,
0021083000009S,1995.6666666666667,0.0,,,,
0021086000009S,1946.0,,1992.0,,,
0021087000009S,1979.0,0.0,1998.0,,,
0021088000009S,1975.0,0.0,1999.0,,,
0021089000009S,2000.0,0.0,1998.0,,,
002300200UH50C,1983.0,0.0,,,,
002300300UH50C,1990.0,0.0,,,,
002300400UH50C,2006.5,0.0,,,,
0043701UG4904S,2012.0,0.0,,,,
0044401UG4904S,1995.0,0.0,,,,
0047401UG5904N,1968.0,0.0,,,,
0047406UG5904N,1963.0,0.0,,,,
0047407UG5904N,1965.0,0.0,1990.0,,,
0047408UG5904N,1968.0,0.0,1990.0,,,
0047901UG4904N,1987.0,0.0,,,,
0047902UG4904N,1987.0,0.0,,,,
0047903UG4904N,1987.0,0.0,,,,
0047904UG4904N,1987.0,0.0,,,,
0047905UG4904N,1987.0,0.0,,,,
0047906UG4904N,1987.0,0.0,,,,
0054501UG5905S,1993.0,0.0,,,,
0054502UG5905S,2004.0,0.0,,,,
0054503UG5905S,2005.0,0.0,,,,
0057401UG5905N,1969.0,0.0,,,,
0057402UG5905N,1967.0,0.0,,,,
0057403UG5905N,1956.0,0.0,,,,
0057404UG5905N,1967.0,0.0,,,,
0057405UG5905N,1964.0,0.0,,,,
0057406UG5905N,1963.0,0.0,,,,
0057407UG5905N,1964.0,0.0,1998.0,,,
