ref_catastral,codigo_uso,pc_31,valor_control,sup_bi
14900A06900043,M,,0,369509
14900A06900034,M,,0,337128
14900A08600079,M,,0,335822
14900A08600007,M,,0,267214
14900A08600004,M,,0,223591
14900A07700018,M,,0,206670
14900A00200004,M,,0,200766
14900A06900042,M,,0,192926
0866401UG4806N,M,,0,152949
14900A07900028,M,,0,138212
14900A07700007,M,,0,135836
14900A06900003,M,,0,131709
14900A07700014,M,,0,104761
14900A10800193,M,,0,100206
14900A06900040,M,,0,99304
14900A06900010,M,,0,94578
14900A10800198,M,,0,92629
14900A10900090,M,,0,91777
9237501UG3993N,M,,0,91274
8281101UG4988S,M,,0,90000
14900A10100139,M,,0,86734
14900A07900025,M,,0,82853
2720512UH5022S,M,,0,74514
14900A06900004,M,,0,71789
14900A10900059,M,,0,71120
14900A10200023,M,,0,67348
14900A10900051,M,,0,67046
14900A09900054,M,,0,61052
14900A10800056,M,,0,58596
4424001UG4942S,M,,0,56797
5292404UG5959S,M,,0,51750
14900A08600062,M,,0,50082
14900A10900085,M,,0,49463
14900A10700113,M,,0,46408
1770603UG4917S,M,,0,45934
14900A01600062,M,,0,44923
14900A08600080,M,,0,44718
14900A11100007,M,,0,44341
9918178UG3991N,M,,0,43282
8043135UH3084S,M,,0,42941
14900A06800075,M,,0,41211
14900A01600061,M,,0,40700
14900A10800412,M,,0,40020
2208601UG3910N,M,,0,39999
14900A07700005,M,,0,39608
8875101UG4987N,M,,0,39380
0248901UG4904N,M,,0,36437
000110400UG69H,M,,0,36411
14900A07600132,M,,0,35714
9272601UG4997S,M,,0,34307
1138503UG4913N,M,,0,34213
14900A10800031,M,,0,33075
9803604UG2990S,M,,0,32836
14900A10800313,M,,0,32822
0637202UG4903N,M,,0,32369
14900A10800030,M,,0,31744
14900A10900056,M,,0,31213
0856101UG4805N,M,,0,30207
14900A01600016,M,,0,29552
14900A10900050,M,,0,29091
14900A01600015,M,,0,28570
14900A10100141,M,,0,28256
14900A10800032,M,,0,28089
4221302UG4942S,M,,0,27407
8068928UG4986N,M,,0,26882
1909314UG4910N,M,,0,26749
14900A10900082,M,,0,26625
1866901UG4916N,M,,0,25841
14900A08000069,M,,0,25774
1168101UG4916N,M,,0,25682
14900A10100140,M,,0,25409
9341101UG3994S,M,,0,24497
2608923UH4020N,M,,0,24407
2301608UH3020S,M,,0,24338
14900A10900029,M,,0,23920
0552401UG4905S,M,,0,23914
14900A10200040,M,,0,23705
14900A10900071,M,,0,23034
2191107UG4929S,M,,0,22829
3927610UG3932N,M,,0,22739
14900A07900029,M,,0,22624
14900A07900033,M,,0,22572
8765101UG4986N,M,,0,22400
8139201UH3083N,M,,0,21963
1770604UG4917S,M,,0,21607
14900A08000059,M,,0,21566
14900A10800029,M,,0,21376
1060101UG4816S,M,,0,21187
8068909UG4986N,M,,0,20684
14900A09900079,M,,0,20394
14900A07700023,M,,0,20390
14900A00500068,M,,0,19707
9803603UG2990S,M,,0,19569
14900A10900330,M,,0,19497
0651901UG4905S,M,,0,19407
14900A06800014,M,,0,19276
14900A01600052,M,,0,19272
14900A07300091,M,,0,17898
14900A06800165,M,,0,17757
2863801UG4926S,M,,0,17732
0657201UG4905N,M,,0,17401
1205804UG3910S,M,,0,17247
1169501UG4916N,M,,0,16842
14900A08200029,M,,0,16729
14900A01600138,M,,0,16502
14900A10900342,M,,0,16370
14900A10100065,M,,0,16299
14900A10900080,M,,0,16268
14900A10900058,M,,0,15687
4706024UG3940N,M,,0,15593
14900A08600036,M,,0,15520
2029813UG4922N,M,,0,15480
4295502UG5949N,M,,0,15294
1806509UG3910N,M,,0,15215
5894201UG4959S,M,,0,15192
5382107UG4958S,M,,0,15100
3222093UH5032S,M,,0,14766
2348501UG4924N,M,,0,14761
9856701UG3995N,M,,0,14608
14900A10200025,M,,0,14601
6106301UH4060N,M,,0,14551
14900A07600133,M,,0,14523
0951601UG4905S,M,,0,14407
14900A10800033,M,,0,14209
8880104UG4988S,M,,0,14163
7358001UG4975N,M,,0,14059
000110200UG69H,M,,0,13976
14900A10200148,M,,0,13942
14900A10900083,M,,0,13877
4295504UG5949N,M,,0,13677
14900A07600078,M,,0,13634
14900A07700006,M,,0,13523
4706001UG3940N,M,,0,13415
7736601UG3973N,M,,0,13410
14900A10900072,M,,0,13395
4221303UG4942S,M,,0,13296
2029805UG4922N,M,,0,13200
0248902UG4904N,M,,0,12963
14900A10800028,M,,0,12626
9274801UG4997S,M,,0,12600
3029802UH5022N,M,,0,12574
14900A10100180,M,,0,12549
8513201UH3081S,M,,0,12492
14900A08600002,M,,0,12441
0152401UG4905S,M,,0,12300
6004601UH3060S,M,,0,12261
0405704UG3900N,M,,0,12250
1534701UG4913S,M,,0,12182
14900A10200038,M,,0,12044
14900A11000096,M,,0,12027
0804801UG3900S,M,,0,12024
14900A07600098,M,,0,12001
8271601UG4987S,M,,0,12000
0659002UG4905N,M,,0,11994
1732502UG4913S,M,,0,11993
14900A10900047,M,,0,11915
14900A08000206,M,,0,11898
000110300UG69H,M,,0,11838
9138801UG3993N,M,,0,11634
14900A01600060,M,,0,11573
14900A09900074,M,,0,11491
9239901UG3993N,M,,0,11490
9339301UG3993N,M,,0,11490
9941801UG3994S,M,,0,11348
1909310UG4910N,M,,0,11346
14900A10900062,M,,0,11223
8880102UG4988S,M,,0,11103
0042102UG4904S,M,,0,10996
6048201UG4964N,M,,0,10980
4361901UG4946S,M,,0,10836
9964305UG3996S,M,,0,10807
3277709UG4937N,M,,0,10660
14900A09000085,M,,0,10622
0554406UG4805S,M,,0,10580
4238901UG4943N,M,,0,10529
4279011UH4047N,M,,0,10470
0250501UG4905S,M,,0,10439
1467901UG4916N,M,,0,10426
1566601UG4916N,M,,0,10346
1788732UG4918N,M,,0,10338
3622706UG4932S,M,,0,10309
14900A07700126,M,,0,10286
2486507UG4928N,M,,0,10240
14900A08000017,M,,0,10212
4976501UH4057N,M,,0,10114
8940401UG3984S,M,,0,10061
0554407UG4805S,M,,0,10006
0991701UG4919S,M,,0,10000
1588117UG4918N,M,,0,10000
5397114UG4959N,M,,0,10000
8558312UG4985N,M,,0,10000
14900A10900028,M,,0,9929
8007709UH3080N,M,,0,9872
2724102UH5022S,M,,0,9857
0905901UG3900N,M,,0,9849
14900A09900075,M,,0,9838
2720601UG4922S,M,,0,9778
14900A11000111,M,,0,9623
2110801UG4921S,M,,0,9485
9952503UG3995S,M,,0,9485
2773395UG4927S,M,,0,9464
2773397UG4927S,M,,0,9464
0763101UG4806S,M,,0,9405
14900A10900086,M,,0,9349
0554402UG4805S,M,,0,9289
1770602UG4917S,M,,0,9218
2107701UG3910N,M,,0,9211
