refcat_parcel,refcat_inmueble,nombre_via,num_1,num_2,km,dir_bi,cp_aprox,m2_bi
4248916UG4944N,4248916UG4944N0001WT,CL REALEJO,10  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,150
4042111UG4944S,4042111UG4944S0001ED,CL LUCANO,12  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,519
3942636UG4934S,3942636UG4934S0001JO,CL ROMERO BARROS,14  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,459
4046850UG4944N,4046850UG4944N0001KT,CL RODRIGUEZ MARIN,23  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,384
3243111UG4934S,3243111UG4934S0001WO,CL PUERTA DE ALMODOVAR,6  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,80
3344708UG4934S,3344708UG4934S0002QP,PZ PINEDA,2  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14003,129
3344708UG4934S,3344708UG4934S0003WA,PZ PINEDA,2  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14003,178
3344708UG4934S,3344708UG4934S0004ES,PZ PINEDA,2  ,0  ,0,Blq:   Esc: E  Pl: 02  Pt: 02,14003,154
3542712UG4934S,3542712UG4934S0001YO,CL CESPEDES,5  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,303
3439402UG4933N,3439402UG4933N0001IU,CL MEDINA CORELLA,4  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,322
3441522UG4934S,3441522UG4934S0001KO,CL CARDENAL HERRERO,14  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,748
3740301UG4934S,3740301UG4934S0001UO,CL MARTINEZ RUCKER,2  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,676
3740329UG4934S,3740329UG4934S0001ZO,CL MAGISTRAL GLEZ FRANCES,13  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,467
3740911UG4934S,3740911UG4934S0001WO,CL CORREGIDOR LUIS CERDA,61  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,1047
3642722UG4934S,3642722UG4934S0001GO,CL MARTINEZ RUCKER,9  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,381
3844413UG4934S,3844413UG4934S0001SO,CL SAN FERNANDO,24  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,250
6052403UG4965S,6052403UG4965S0001IG,CL LAPIZLAZULI,11  N,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14014,702
4037847UG4943N,4037847UG4943N0001AA,CL MARTIN LOPEZ,17  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14009,392
3157505UG4935N,3157505UG4935N0001IK,CL BEATRIZ ENRIQUEZ,10  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14006,375
